1,Adventure
2,Exploration
3,Fantasy
4,Fighting
5,Miniatures
6,Environmental
7,Medical
8,Card Game
9,Civilization
10,Economic
11,Industry / Manufacturing
12,Science Fiction
13,Territory Building
14,Modern Warfare
15,Political
16,Wargame
17,Movies / TV / Radio theme
18,American West
19,Horror
20,Dice
21,Medieval
22,Ancient
23,City Building
24,Novel-based
25,Animals
26,Farming
27,Collectible Components
28,Murder/Mystery
29,Puzzle
30,Nautical
31,Mythology
32,Video Game Theme
33,Religious
34,Travel
35,Negotiation
36,Space Exploration
37,Mature / Adult
38,Transportation
39,Bluffing
40,Abstract Strategy
41,Renaissance
42,Deduction
43,Party Game
44,Spies/Secret Agents
45,Word Game
46,Age of Reason
47,Arabian
48,Prehistoric
49,Aviation / Flight
50,Zombies
51,Post-Napoleonic
52,Trains
53,Action / Dexterity
54,Real-time
55,World War I
56,World War II
57,Comic Book / Strip
58,Humor
59,Racing
60,Civil War
61,Electronic
62,Book
63,none
64,Print & Play
65,Expansion for Base-game
66,Sports
67,Maze
68,Pirates
69,Educational
70,American Indian Wars
71,American Revolutionary War
72,Memory
73,Napoleonic
74,American Civil War
75,Children's Game
76,Mafia
77,Vietnam War
78,Pike and Shot
79,Trivia
80,Number
81,Game System
82,Korean War
83,Math
84,Music
